Program,Publisher(s),Developer(s),Oct-80,Oct-802,Nov-80,Nov-802,Dec-80,Dec-802,Jan-81,Jan-82,Feb-81,Feb-812,Mar-81,Mar-812,Apr-81,Apr-812,May-81,May-812,Jun-81,Jun-812,Jul-81,Jul-812,Aug-81,Aug-812,Sep-81,Sep-812,Oct-81,Oct-812,Nov-81,Nov-812,Dec-81,Dec-812,Jan-823,Jan-822,Feb-82,Feb-822,Mar-82,Mar-822,Apr-82,Apr-822,May-82,May-822,Jun-82,Jun-822,Jul-82,Jul-822,Aug-82,Aug-822,Sep-82,Sep-822,Oct-82,Oct-822,Nov-82,Nov-822,Dec-82,Dec-822,Jan-83,Jan-832,Feb-83,Feb-832,Mar-83,Mar-832,Apr-83,Apr-832,May-83,May-832,Jun-83,Jun-832,Jul-83,Jul-832,Aug-83,Aug-832,Sep-83,Sep-832,Oct-83,Oct-832,Nov-83,Nov-832,Dec-83,Dec-832,Jan-84,Jan-842,Feb-84,Feb-842,Mar-84,Mar-842,Apr-84,Apr-842,May-84,May-842,Jun-84,Jun-842,Jul-84,Jul-842,Aug-84,Aug-842
Beyond Castle Wolfenstein,MUSE,Silas Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.74,18,50.03,6
Bill Budge's 3-D Graphics Package,California Pacific,Bill Budge,37.5,18,71.76,3,22.32,19,16.22,30,16.38,26,11.11,29,15.49,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Budge's Space Album,California Pacific,Bill Budge,79.06,3,44.08,8,38.7,6,28.02,20,27.78,14,13.48,20,12.17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Budge's Trilogy,California Pacific,uncredited,44.38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPI Accounts Receivable,Apple Computer,"John Moss, Ken Debower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.47,19,,,,,,,,,,,19.25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPI General Ledger,Apple Computer,"John Moss, Ken Debower",,,,,,,,,,,,,,,,,17.92,26,13.14,29,,,,,,,11.02,20,,,36.25,18,,,38.53,16,49.47,8,38.28,16,21.52,25,17.26,24,17.32,29,28.76,18,22.71,20,23.58,18,16.35,23,16.87,29,,,,,21.19,20,,,20.16,19,,,12.09,26,,,21.91,17,17.2,30,,,,,,,,,,,,,,,,,,
Bug Attack,Cavalier Software,Jim Nitchals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.87,24,42.65,19,30.24,24,24.73,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannonball Blitz,On-Line Systems,Olaf Lubeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.78,14,32.41,17,38.09,12,41.78,13,24.55,16,24.52,14,24.45,17,31.01,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon Climber,DataSoft,Steve Bjork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Wolfenstein,MUSE,Silas Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,11.61,18,21.54,14,35.28,20,74.44,7,51.7,13,44.07,12,59.38,8,42,11,26.49,15,32.69,16,36.15,14,33.26,16,17.33,28,,,33.74,11,31.01,15,26.3,17,24.1,16,32.02,14,21.67,17,,,12.79,25,18.08,26,,,21.51,23,,,,,,,23.22,29,,,,,,,,,15.79,27
